trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.9931633043015177}",20,0,-121.80263171959724,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.993046074492218}",20,0,-115.55013273614674,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.9929278516369265}",20,0,-110.2415983067408,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,9,10.911332633701875,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.9926884272622528}",20,0,-77.38217405583435,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9925672259822949}",20,0,-122.18787606452567,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.9924450321351935}",25,0,-42.028918767733934,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9923218458431429}",30,0,-183.39875603718383,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-151.22748609820638,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9920724964179307}",25,0,-169.83384767744914,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.9919463335341185}",20,0,-91.65815255547601,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9918191787040556}",35,21,-75.58278703305301,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.9916910320548965}",20,0,-63.9873171561286,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-65.67890857186012,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9914317638128685}",25,0,-127.1419969303695,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-168.84934500032412,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
133,False,"{'a': 0.5, 'e': 0.9911685298451072}",20,0,-127.56926152460952,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.9910354260424993}",30,0,-75.32120895330985,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9909013312045479}",30,0,-189.31921830923085,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
